Comment,Designator,Footprint,LCSC
4.7uF,"C1,C2,C4",Capacitor_SMD:C_0805_2012Metric,C1779
10uF,"C3,C5",Capacitor_SMD:C_1206_3216Metric,C13585
100nF,"C6,C7,C8",Capacitor_SMD:C_0402_1005Metric,C24497
600mA,D1,Diode_SMD:D_SOD-323,C191023
MountingHole_Pad,"H1,H2,H3,H4",MountingHole:MountingHole_4.3mm_M4_Pad_Via,
SWD CONN,J1,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD,C2881910
Conn_01x08_Female,"J2,J5",Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,
Micro_SD_Card,J3,libraries:microSD_HC_Molex_104031-0811,C585350
USB_B_Micro,J4,Connector_USB:USB_Micro-B_Molex-105133-0001,C782257
24k,"R1,R2,R3,R4,R5,R6,R7,R8,R9",Resistor_SMD:R_0805_2012Metric,C17575
B3F-1000,"S1,S2,S3,S4,S5,S6,S7,S8",digikey-footprints:Switch_Tactile_THT_B3F-1xxx,
LM1117MPX-3_3_NOPB,U1,digikey-footprints:SOT-223,
STM32F103TBUx,U2,Package_DFN_QFN:QFN-36-1EP_6x6mm_P0.5mm_EP4.1x4.1mm,C1339380
